x,y,theta,time
-0.579192459583,0.059694856405,1.541376475662,2.325000000000
-0.578940629959,0.064728155732,1.541268669454,2.350000000000
-0.578693926334,0.069655515254,1.541241413851,2.375000000000
-0.578441560268,0.074679352343,1.541174745073,2.400000000000
-0.578194975853,0.079597756267,1.541146835855,2.425000000000
-0.577943146229,0.084612652659,1.541098836333,2.450000000000
-0.577696919441,0.089522063732,1.541119468144,2.475000000000
-0.577445030212,0.094528093934,1.541034734734,2.500000000000
-0.577198326588,0.099429026246,1.541027574702,2.525000000000
-0.576945960522,0.104425869882,1.540962639008,2.550000000000
-0.576698839664,0.109317243099,1.540952142591,2.575000000000
-0.576445698738,0.114304177463,1.540867941826,2.600000000000
-0.576197564602,0.119185954332,1.540925074572,2.625000000000
-0.575943768024,0.124163411558,1.540867230458,2.650000000000
-0.575695037842,0.129036411643,1.540866455945,2.675000000000
-0.575439691544,0.134005486965,1.540799308747,2.700000000000
-0.575189352036,0.138870209455,1.540783508110,2.725000000000
-0.574933171272,0.143830895424,1.540766450972,2.750000000000
-0.574682474136,0.148687273264,1.540768245463,2.775000000000
-0.574425756931,0.153638705611,1.540748622903,2.800000000000
-0.574173986912,0.158485323191,1.540725366097,2.825000000000
-0.573915421963,0.163426861167,1.540663764988,2.850000000000
-0.573663830757,0.168223023415,1.540720894186,2.875000000000
-0.573416590691,0.172911271453,1.540734187181,2.900000000000
-0.573187530041,0.177256807685,1.540779870287,2.925000000000
-0.572973012924,0.181320637465,1.540808969293,2.950000000000
-0.572779417038,0.184993803501,1.540826739575,2.975000000000
-0.572600901127,0.188377484679,1.540820061495,3.000000000000
-0.572441101074,0.191411212087,1.540848328197,3.025000000000
-0.572293996811,0.194199606776,1.540841168138,3.050000000000
-0.572162866592,0.196693837643,1.540866454161,3.075000000000
-0.572041749954,0.198989257216,1.540822567338,3.100000000000
-0.571933746338,0.201040208340,1.540852978844,3.125000000000
-0.571834445000,0.202932074666,1.540788875477,3.150000000000
-0.571746110916,0.204620212317,1.540788873689,3.175000000000
-0.571664214134,0.206180900335,1.540771220773,3.200000000000
-0.571591496468,0.207570955157,1.540741166732,3.225000000000
-0.571523189545,0.208859935403,1.540739854230,3.250000000000
-0.571462690830,0.210005402565,1.540749996772,3.275000000000
-0.571406066418,0.211070984602,1.540727216590,3.300000000000
-0.571355760098,0.212015122175,1.540736219990,3.325000000000
